time,high_g_x,high_g_y,high_g_z,bmx_x_magn,bmx_y_magn,bmx_z_magn,bmx_x_gyro,bmx_y_gyro,bmx_z_gyro,bmx_x_accel,bmx_y_accel,bmx_z_accel,cpu_temp,real_temp,baro_height,gps_height,gps_satCount,gps_lat,gps_lon,gps_ascent,gps_groundSpeed,telemetrum_board.arm_status,telemetrum_board.current,telemetrum_board.voltage,stratologger_board.arm_status,stratologger_board.current,stratologger_board.voltage,camera_board.arm_status,camera_board.current,camera_board.voltage,v3_rail_voltage,v5_rail_voltage,mainBatteryVoltage,mainBatteryTemperature
335.7935486,-0.274586201,-0.50994581,0.784532011,-162.8999939,240.3000031,-12.89999962,-2.690566063,16.10528564,-5.586925983,0.723154902,-10.16843128,5.168553829,54.61000061,41.56003571,5574.720703,6221.432129,0,32.94393921,-106.9031372,242.6105499,4.039999962,1,38.27761841,4.133327484,1,0,8.191152573,1,441.9475098,4.976019859,3.321787357,5.036986351,14.52098274,35.34704971
335.9874268,0.235359594,-0.588398993,0.549172401,-234.8999939,211.5,-14.69999981,-5.358265877,19.5046978,-5.061007977,3.864003897,-9.153980255,2.938078403,54.0719986,41.55172729,5571.526855,6221.432129,0,32.94393921,-106.9031372,242.6105499,4.039999962,1,38.27761841,4.133327484,1,0,8.193144798,1,441.9475098,4.976019859,3.321787357,5.036986351,14.52098274,35.34704971
336.1852722,0.274586201,-0.313812792,0.50994581,-244.5,180.3000031,-42.90000153,-8.589994431,34.57339096,-0.396344006,5.023204803,-7.936759472,1.137069821,54.0719986,41.53674316,5550.855469,6221.432129,0,32.94393921,-106.9031372,242.6105499,4.039999962,1,39.19019699,4.133973598,1,0,8.193144798,1,441.9475098,4.976019859,3.321787357,5.036986351,14.52098274,35.34704971
336.3489075,0,-0.039226599,0.235359594,-50.09999847,221.1000061,-69.90000153,-7.309497833,52.66801834,-0.960371971,2.017536402,-6.15728426,1.023422718,54.0719986,41.53196716,5534.994141,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0,8.193144798,1,441.9475098,4.976019859,3.321787357,5.036986351,14.52098274,35.34704971
336.5421448,-0.235359594,-0.313812792,0.50994581,91.5,245.1000061,-48.29999924,-4.291185856,51.80673218,-3.757646084,1.390682459,-8.327346802,2.716765404,54.0719986,41.56991577,5523.432129,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0.050698832,8.20682621,1,441.9475098,4.976019859,3.321787357,5.036986351,14.52098274,35.34704971
336.7774353,-0.196133003,-0.706078827,0.431492597,31.5,278.7000122,-3.900000095,0.327746004,47.67560959,-5.152472019,-0.991721094,-9.604382515,1.73222208,54.0719986,41.56389618,5502.322266,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0.050698832,8.20682621,1,441.9475098,4.976019859,3.322950125,5.035081863,14.47447681,35.33148575
337.0150452,-0.666852176,-0.588398993,0.431492597,-136.5,266.7000122,-25.5,5.472596169,39.57342529,-3.178374052,-2.754448414,-8.586342812,1.472029924,54.0719986,41.53890228,5494.467285,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0.050698832,8.20682621,1,441.9475098,4.976019859,3.318668842,5.035374641,14.51975918,35.29555511
337.1818542,-0.823758602,-0.50994581,0.431492597,-98.09999847,245.1000061,-62.70000076,6.745470047,25.48796844,-3.323191881,-6.095675468,-9.039136887,2.573211193,54.0719986,41.52542496,5490.151855,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0.050698832,8.20682621,1,441.9475098,4.976019859,3.318668842,5.035374641,14.51975918,35.29555511
337.3738403,-0.50994581,-0.431492597,0.588398993,-14.10000038,206.6999969,-70.5,5.663146019,26.28065681,-5.221069813,-3.755141735,-7.240520954,3.701906919,54.0719986,41.5454483,5474.225586,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0,8.184789658,1,441.9475098,4.976019859,3.318668842,5.035374641,14.51975918,35.29555511
337.6185303,-0.588398993,-0.50994581,0.470719188,67.5,197.1000061,-72.90000153,4.672286034,16.96657181,-6.585408211,-2.237054825,-7.71305418,2.667119741,54.61000061,41.54793167,5463.205566,6146.297363,0,32.94396973,-106.9031143,242.6105499,5.452000141,1,39.19019699,4.133973598,1,0,8.184789658,1,441.9475098,4.976019859,3.321100235,5.036839962,14.5173111,35.30249023
